"epiweek_recolec","count_undetermined","count_unprocessed","count_all_resul_inf_a_all","count_all_resul_inf_b_all","count_all_resul_inf_all","count_all_resul_rsv_all","count_all_resul_sars_all","count_all_resul_covid_19_all","count_all_resul_sars_covid_all","count_all_resul_virus_all","count_neg_resul_inf_a_all","count_neg_resul_inf_b_all","count_neg_resul_inf_all","count_neg_resul_rsv_all","count_neg_resul_sars_all","count_neg_resul_covid_19_all","count_neg_resul_sars_covid_all","count_neg_resul_virus_all","count_pos_resul_inf_a_all","count_pos_resul_inf_b_all","count_pos_resul_inf_all","count_pos_resul_rsv_all","count_pos_resul_sars_all","count_pos_resul_covid_19_all","count_pos_resul_sars_covid_all","count_pos_resul_virus_all","pct_pos_resul_inf_a_all","pct_pos_resul_inf_b_all","pct_pos_resul_inf_all","pct_pos_resul_rsv_all","pct_pos_resul_sars_all","pct_pos_resul_covid_19_all","pct_pos_resul_sars_covid_all","pct_pos_resul_virus_all"
2023-07-17,0,0,2,2,0,2,2,0,2,2,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100
2023-07-24,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,100,0,100,100
2023-07-31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-08-14,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-08-21,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,100,0,0,0,0,0,0,100
2023-08-28,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-09-18,0,0,4,4,0,4,4,0,4,5,4,3,0,4,3,0,3,0,0,1,0,0,1,0,1,5,0,25,0,0,25,0,25,100
2023-09-25,0,0,2,2,0,2,2,0,2,2,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100
2023-11-13,0,0,2,2,0,2,2,0,2,2,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100
2023-11-20,0,0,2,2,0,2,2,0,2,2,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100
2023-11-27,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2023-12-04,0,0,2,2,0,2,2,0,2,2,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100
2023-12-11,0,0,2,2,0,2,2,0,2,2,2,2,0,1,2,0,2,0,0,0,0,1,0,0,0,2,0,0,0,50,0,0,0,100
2024-01-08,0,0,2,2,0,2,2,0,2,2,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100
2024-01-15,0,0,5,5,0,5,5,0,5,5,5,5,0,5,4,0,4,0,0,0,0,0,1,0,1,5,0,0,0,0,20,0,20,100
2024-01-22,0,0,5,5,0,5,5,0,5,5,5,5,0,5,4,0,4,0,0,0,0,0,1,0,1,5,0,0,0,0,20,0,20,100
2024-01-29,0,0,9,9,0,9,9,0,9,9,9,9,0,9,8,0,8,0,0,0,0,0,1,0,1,9,0,0,0,0,11.1111111111111,0,11.1111111111111,100
2024-02-05,0,0,3,3,0,3,3,0,3,3,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,100
2024-02-12,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2024-02-19,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2024-03-04,0,0,4,4,0,4,4,0,4,4,4,4,0,4,2,0,2,0,0,0,0,0,2,0,2,4,0,0,0,0,50,0,50,100
2024-03-11,0,0,2,2,0,2,2,0,2,2,1,2,0,2,2,0,2,0,1,0,0,0,0,0,0,2,50,0,0,0,0,0,0,100
2024-03-25,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2024-04-01,0,0,6,6,0,6,6,0,6,6,6,6,0,6,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,100
2024-04-08,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,100,0,0,0,0,0,0,100
2024-04-15,0,0,3,3,0,3,3,0,3,3,2,3,0,3,3,0,3,0,1,0,0,0,0,0,0,3,33.3333333333333,0,0,0,0,0,0,100
